system,elements,mode,frequency_hz,error_vs_320_percent,successive_change_percent,published_error_percent
coupled,80,f8,108.49307139202196,-0.005980762437773901,0.02248017147499226,NaN
coupled,80,f9,114.64941075534242,0.039588636396814536,0.035107191087102585,NaN
coupled,80,f10,156.9143507445568,0.04086922164283635,0.06420183658073508,NaN
wing,120,OOP1,6.633619623159019,-0.011781926388565456,-0.03314002681640282,0.05459461778309915
wing,120,IP1,20.805708070807576,-0.010656944327946949,-0.028791834378616432,-0.5938458155395288
wing,120,OOP2,36.51433746756689,-0.017123866068591287,-0.031085197660796204,-0.3973336945802153
wing,120,T1,42.867661558053875,-0.015050199394905928,-0.04531510307299591,-1.453651590680749
wing,120,OOP3,93.780478918885,-0.022607021965415086,-0.006368003434864544,0.5042106086003528
coupled,120,f1,5.904693751880648,-0.008766717796637735,-0.029025783107528014,NaN
coupled,120,f2,7.957817727493928,0.0003026794965554913,-0.00022767600016404543,NaN
coupled,120,f3,8.529742056234673,-0.0004803966053623654,-0.007009050882034185,NaN
coupled,120,f4,19.407204534311482,-0.010257859552587067,-0.028913239918015865,NaN
coupled,120,f5,35.181666306799876,-0.01535895685843558,-0.05526735462321186,NaN
coupled,120,f6,39.313915273235125,-0.006894941739432614,-0.014234617581776465,NaN
coupled,120,f7,92.35424244879347,-0.01815557357450759,-0.020444843839872995,NaN
coupled,120,f8,108.49156310278273,-0.0073708963999497,-0.0013902171077551095,NaN
coupled,120,f9,114.6146128023239,0.009225001011103906,-0.03035161959338284,NaN
coupled,120,f10,156.8259825155002,-0.01547001313367824,-0.056316218776231164,NaN
wing,160,OOP1,6.634761082300088,0.005423230373935439,0.01720718410027633,0.07181119607975184
wing,160,IP1,20.808943470581287,0.004891937584394768,0.01555053912465354,-0.5783876226407636
wing,160,OOP2,36.52375995260344,0.008676606283408717,0.025804891146985476,-0.3716313349605982
wing,160,T1,42.87980630928274,0.013276336222500795,0.028330799459208578,-1.425732622338527
wing,160,OOP3,93.80210371597029,0.00044671865513379316,0.023058953563248608,0.5273858278536991
coupled,160,f1,5.905513253967747,0.005110890053949824,0.013878824567958858,NaN
coupled,160,f2,7.957805109681436,0.00014412031468236108,-0.00015855870194592114,NaN
coupled,160,f3,8.529887668961244,0.001226712778401584,0.0017071175846927744,NaN
coupled,160,f4,19.410164208188608,0.00499096349508843,0.015250387410992161,NaN
coupled,160,f5,35.19319190546264,0.01739625248993182,0.032760240979645694,NaN
coupled,160,f6,39.3181025316713,0.0037551542839464602,0.010650830391911725,NaN
coupled,160,f7,92.37469405890471,0.003985149430674184,0.02214474351038831,NaN
coupled,160,f8,108.49951538829498,-4.157130765181094e-5,0.007329865369087862,NaN
coupled,160,f9,114.62182633478861,0.015519310032230393,0.00629372842462228,NaN
coupled,160,f10,156.8757647958784,0.016268719348344618,0.031743643227799545,NaN
wing,240,OOP1,6.633764895463071,-0.009592244187484056,-0.015014660281809089,0.056785753590826715
wing,240,IP1,20.806185929603313,-0.008360421330677603,-0.01325171064966435,-0.5915626870362511
wing,240,OOP2,36.51651593423953,-0.0111588293570275,-0.019833714747097275,-0.3913913414088088
wing,240,T1,42.868649379032576,-0.012746196158486267,-0.026019078000716345,-1.451380737856145
wing,240,OOP3,93.79290760985836,-0.009357056343872738,-0.009803731203916755,0.5175303931608255
coupled,240,f1,5.904739149306006,-0.007997948959481693,-0.013108169069320219,NaN
coupled,240,f2,7.957794652970776,1.2718180730786344e-5,-0.00013140194458083343,NaN
coupled,240,f3,8.529628928272894,-0.0018066667032079486,-0.003033342271219208,NaN
coupled,240,f4,19.407599588970154,-0.00822246010172556,-0.013212764152570333,NaN
coupled,240,f5,35.18154161612748,-0.015713321885146847,-0.03310381555174935,NaN
coupled,240,f6,39.31401568513008,-0.006639548780174032,-0.010394312741635048,NaN
coupled,240,f7,92.36005004146203,-0.011868327734099182,-0.01585284540519538,NaN
coupled,240,f8,108.49504467258649,-0.0041620633061234535,-0.004120493711412543,NaN
coupled,240,f9,114.58878453913033,-0.013311955856398772,-0.028826792169378557,NaN
coupled,240,f10,156.82682607889814,-0.014932198617834125,-0.031195842802078655,NaN
wing,320,OOP1,6.634401283434555,0.0,0.009593164387222686,0.06638436552874882
wing,320,IP1,20.80792555985029,0.0,0.008361120355560026,-0.5832510279489278
wing,320,OOP2,36.52059120469224,0.0,0.011160074690708122,-0.3802749462841204
wing,320,T1,42.87411419772943,0.0,0.012747821020764327,-1.4388179362541775
wing,320,OOP3,93.80168468634596,0.0,0.009357931970832567,0.5269367552737769
coupled,320,f1,5.905211445103335,0.0,0.0079985886825229,NaN
coupled,320,f2,7.957793640884199,0.0,-1.2718179109860728e-5,NaN
coupled,320,f3,8.529783033022808,0.0,0.0018066993442422685,NaN
coupled,320,f4,19.409195502326398,0.0,0.008223136245821827,NaN
coupled,320,f5,35.18707067380441,0.0,0.015715791358039688,NaN
coupled,320,f6,39.316626131700815,0.0,0.006639989645540467,NaN
coupled,320,f7,92.37101293600858,0.0,0.011869736473313353,NaN
coupled,320,f8,108.49956049298108,0.0,0.004162236541049857,NaN
coupled,320,f9,114.60404057842177,0.0,0.013313728174013661,NaN
coupled,320,f10,156.85024726935296,0.0,0.014934428656387944,NaN
